referrer,views_total,views_unique
Google,231,52
neosync.dev,149,62
github.com,133,42
t.co,15,8
tiktok.com,6,6
helpnetsecurity.com,6,3
search.brave.com,5,1
m.sogou.com,4,4
tms.netcracker.com,3,2
awesomeopensource.com,3,2
