time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-05 00:00:00+00:00,41.0,13.0,57,32
2025-08-06 00:00:00+00:00,27.0,12.0,108,30
2025-08-07 00:00:00+00:00,37.0,14.0,53,24
2025-08-08 00:00:00+00:00,41.0,16.0,53,25
2025-08-09 00:00:00+00:00,26.0,7.0,15,11
2025-08-10 00:00:00+00:00,46.0,14.0,20,12
2025-08-11 00:00:00+00:00,42.0,15.0,97,20
2025-08-12 00:00:00+00:00,63.0,19.0,36,23
2025-08-13 00:00:00+00:00,33.0,15.0,64,24
2025-08-14 00:00:00+00:00,3.0,1.0,53,26
2025-08-15 00:00:00+00:00,,,40,21
2025-08-16 00:00:00+00:00,,,74,15
2025-08-17 00:00:00+00:00,,,31,16
2025-08-18 00:00:00+00:00,,,202,57
