referrer,views_total,views_unique
Google,239,48
neosync.dev,124,42
github.com,47,30
statics.teams.cdn.office.net,19,6
m.sogou.com,18,17
chatgpt.com,11,7
ya.ru,11,2
t.co,10,5
claude.ai,4,1
Bing,3,2
