referrer,views_total,views_unique
Google,221,50
neosync.dev,173,62
github.com,131,41
t.co,16,9
search.brave.com,8,2
tiktok.com,7,7
helpnetsecurity.com,6,3
m.sogou.com,5,5
tms.netcracker.com,3,2
awesomeopensource.com,3,2
