time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-25 00:00:00+00:00,61,28,59,34
2025-07-26 00:00:00+00:00,50,29,45,23
2025-07-27 00:00:00+00:00,48,22,31,20
2025-07-28 00:00:00+00:00,107,31,44,26
2025-07-29 00:00:00+00:00,62,24,87,44
2025-07-30 00:00:00+00:00,38,21,99,42
2025-07-31 00:00:00+00:00,50,25,115,34
2025-08-01 00:00:00+00:00,43,28,160,55
2025-08-02 00:00:00+00:00,27,9,278,109
2025-08-03 00:00:00+00:00,92,13,91,46
2025-08-04 00:00:00+00:00,45,17,111,54
2025-08-05 00:00:00+00:00,41,13,57,32
2025-08-06 00:00:00+00:00,27,12,108,30
2025-08-07 00:00:00+00:00,22,8,53,24
