referrer,views_total,views_unique
Google,190,38
neosync.dev,88,33
github.com,46,29
statics.teams.cdn.office.net,19,6
m.sogou.com,17,16
chatgpt.com,11,7
ya.ru,11,2
t.co,9,4
claude.ai,4,1
Bing,3,2
