referrer,views_total,views_unique
Google,170,29
neosync.dev,85,31
github.com,39,25
statics.teams.cdn.office.net,19,6
m.sogou.com,11,11
chatgpt.com,11,7
ya.ru,11,2
claude.ai,4,1
Bing,3,2
t.co,2,2
