time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-29 00:00:00+00:00,62,24,87,44
2025-07-30 00:00:00+00:00,38,21,99,42
2025-07-31 00:00:00+00:00,50,25,115,34
2025-08-01 00:00:00+00:00,43,28,160,55
2025-08-02 00:00:00+00:00,27,9,278,109
2025-08-03 00:00:00+00:00,92,13,91,46
2025-08-04 00:00:00+00:00,45,17,111,54
2025-08-05 00:00:00+00:00,41,13,57,32
2025-08-06 00:00:00+00:00,27,12,108,30
2025-08-07 00:00:00+00:00,37,14,53,24
2025-08-08 00:00:00+00:00,41,16,53,25
2025-08-09 00:00:00+00:00,26,7,15,11
2025-08-10 00:00:00+00:00,46,14,20,12
2025-08-11 00:00:00+00:00,23,10,80,18
