referrer,views_total,views_unique
Google,171,30
neosync.dev,86,32
github.com,44,27
statics.teams.cdn.office.net,19,6
m.sogou.com,16,15
chatgpt.com,11,7
ya.ru,11,2
claude.ai,4,1
t.co,3,3
Bing,3,2
