time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-09 00:00:00+00:00,26,7,15,11
2025-08-10 00:00:00+00:00,46,14,20,12
2025-08-11 00:00:00+00:00,42,15,97,20
2025-08-12 00:00:00+00:00,63,19,36,23
2025-08-13 00:00:00+00:00,33,15,64,24
2025-08-14 00:00:00+00:00,14,4,53,26
2025-08-15 00:00:00+00:00,31,15,40,21
2025-08-16 00:00:00+00:00,62,44,74,15
2025-08-17 00:00:00+00:00,61,16,31,16
2025-08-18 00:00:00+00:00,66,21,202,57
2025-08-19 00:00:00+00:00,42,17,179,26
2025-08-20 00:00:00+00:00,41,7,58,14
2025-08-21 00:00:00+00:00,42,17,148,42
2025-08-22 00:00:00+00:00,36,15,77,26
