time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-21 00:00:00+00:00,45,20,93,37
2025-07-22 00:00:00+00:00,56,27,157,55
2025-07-23 00:00:00+00:00,76,27,80,36
2025-07-24 00:00:00+00:00,63,36,104,27
2025-07-25 00:00:00+00:00,61,28,59,34
2025-07-26 00:00:00+00:00,50,29,45,23
2025-07-27 00:00:00+00:00,48,22,31,20
2025-07-28 00:00:00+00:00,107,31,44,26
2025-07-29 00:00:00+00:00,62,24,87,44
2025-07-30 00:00:00+00:00,38,21,99,42
2025-07-31 00:00:00+00:00,50,25,115,34
2025-08-01 00:00:00+00:00,43,28,160,55
2025-08-02 00:00:00+00:00,27,9,278,109
2025-08-03 00:00:00+00:00,80,7,80,43
