time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-31 00:00:00+00:00,50,25,115,34
2025-08-01 00:00:00+00:00,43,28,160,55
2025-08-02 00:00:00+00:00,27,9,278,109
2025-08-03 00:00:00+00:00,92,13,91,46
2025-08-04 00:00:00+00:00,45,17,111,54
2025-08-05 00:00:00+00:00,41,13,57,32
2025-08-06 00:00:00+00:00,27,12,108,30
2025-08-07 00:00:00+00:00,37,14,53,24
2025-08-08 00:00:00+00:00,41,16,53,25
2025-08-09 00:00:00+00:00,26,7,15,11
2025-08-10 00:00:00+00:00,46,14,20,12
2025-08-11 00:00:00+00:00,42,15,97,20
2025-08-12 00:00:00+00:00,63,19,36,23
2025-08-13 00:00:00+00:00,18,10,55,23
