url_path,views_total,views_unique
/nucleuscloud/neosync,412,295
/nucleuscloud/neosync/issues,55,20
/nucleuscloud/neosync/tree/main/backend,17,14
/nucleuscloud/neosync/pull/3547,11,7
/nucleuscloud/neosync/blob/main/compose.yml,10,7
/nucleuscloud/neosync/tree/main/backend/charts/api,9,6
/nucleuscloud/neosync/releases,9,4
/nucleuscloud/neosync/pulls,8,6
/nucleuscloud/neosync/blob/main/charts/neosync/values.yaml,8,3
/nucleuscloud/neosync/pull/3547/files,7,5
